TAL,Time,Price
0,11-30-01,119.01
1,11-30-02,119.01
2,11-30-03,119.01
3,11-30-04,119.01
4,11-30-05,119.01
5,11-30-06,119.01
6,11-30-07,119.01
7,11-30-08,119.01
8,11-30-09,119.01
9,11-30-10,119.01
10,11-30-11,119.01
11,11-30-13,119.01
12,11-30-14,119.01
13,11-30-15,119.01
14,11-30-16,119.01
15,11-30-17,119.01
16,11-30-19,119.01
17,11-30-20,119.01
18,11-30-21,119.01
19,11-30-22,119.01
20,11-30-24,119.01
21,11-30-25,119.01
22,11-30-26,119.01
23,11-30-27,119.01
24,11-30-28,119.01
25,11-30-29,119.01
26,11-30-30,119.01
27,11-30-31,119.01
28,11-30-32,119.01
29,11-30-33,119.01
30,11-30-34,119.01
31,11-30-36,119.01
32,11-30-37,119.01
33,11-30-38,119.01
34,11-30-39,119.01
35,11-30-40,119.01
36,11-30-41,119.01
37,11-30-42,119.01
38,11-30-43,119.01
39,11-30-44,119.01
40,11-30-45,119.01
41,11-30-47,119.01
42,11-30-47,119.01
43,11-30-49,119.01
44,11-30-50,119.01
45,11-30-50,119.01
46,11-30-52,119.01
47,11-30-53,119.01
48,11-30-54,119.01
49,11-30-55,119.01
50,11-30-56,119.01
51,11-30-57,119.01
52,11-30-58,119.01
53,11-30-59,119.01
54,11-31-00,119.01
55,11-31-01,119.01
56,11-31-02,119.01
57,11-31-03,119.01
58,11-31-05,119.01
59,11-31-06,119.01
60,11-31-07,119.01
61,11-31-08,119.01
62,11-31-09,119.01
63,11-31-10,119.01
64,11-31-11,119.01
65,11-31-12,119.01
66,11-31-13,119.01
67,11-31-14,119.01
68,11-31-16,119.01
69,11-31-17,119.01
70,11-31-18,119.01
71,11-31-19,119.01
72,11-31-20,119.01
73,11-31-21,119.01
74,11-31-22,119.01
75,11-31-23,119.01
76,11-31-24,119.01
77,11-31-25,119.01
78,11-31-26,119.01
79,11-31-27,119.01
80,11-31-28,119.01
81,11-31-29,119.01
82,11-31-30,119.01
83,11-31-31,119.01
84,11-31-32,119.01
85,11-31-33,119.01
86,11-31-34,119.01
87,11-31-35,119.01
88,11-31-37,119.01
89,11-31-38,119.01
90,11-31-39,119.01
91,11-31-40,119.01
92,11-31-41,119.01
93,11-31-43,119.01
94,11-31-44,119.01
95,11-31-45,119.01
96,11-31-46,119.01
97,11-31-47,119.01
98,11-31-48,119.01
99,11-31-49,119.01
100,11-31-50,119.01
101,11-31-51,118.75
102,11-31-52,118.75
103,11-31-53,118.75
104,11-31-54,118.75
105,11-31-55,118.75
106,11-31-56,118.75
107,11-31-57,118.75
108,11-31-58,118.75
109,11-31-59,118.75
110,11-32-00,118.75
111,11-32-01,118.75
112,11-32-02,118.75
113,11-32-03,118.75
114,11-32-04,118.75
115,11-32-05,118.75
116,11-32-06,118.75
117,11-32-07,118.75
118,11-32-09,118.74
119,11-32-10,118.74
120,11-32-11,118.74
121,11-32-12,118.74
122,11-32-13,118.74
123,11-32-14,118.74
124,11-32-15,118.74
125,11-32-16,118.74
126,11-32-17,118.74
127,11-32-19,118.74
128,11-32-20,118.74
129,11-32-21,118.74
130,11-32-22,118.74
131,11-32-23,118.74
132,11-32-24,118.74
133,11-32-26,118.74
134,11-32-27,118.74
135,11-32-28,118.74
136,11-32-29,118.74
137,11-32-30,118.74
138,11-32-31,118.74
139,11-32-32,118.74
140,11-32-33,118.74
141,11-32-34,118.74
142,11-32-35,118.74
143,11-32-36,118.74
144,11-32-37,118.74
145,11-32-38,118.74
146,11-32-39,118.74
147,11-32-40,118.74
148,11-32-41,118.74
149,11-32-42,118.74
150,11-32-43,118.74
151,11-32-44,118.74
152,11-32-45,118.74
153,11-32-46,118.74
154,11-32-47,118.74
155,11-32-48,118.74
156,11-32-49,118.74
157,11-32-50,118.74
158,11-32-51,118.74
159,11-32-52,118.74
160,11-32-53,118.74
161,11-32-54,118.74
162,11-32-55,118.74
163,11-32-56,118.74
164,11-32-57,118.74
165,11-32-58,118.74
166,11-33-00,118.74
167,11-33-01,118.74
168,11-33-02,118.74
169,11-33-03,118.74
170,11-33-05,118.74
171,11-33-06,118.74
172,11-33-06,118.74
173,11-33-07,118.74
174,11-33-08,118.74
175,11-33-09,118.74
176,11-33-10,118.74
177,11-33-11,118.74
178,11-33-12,118.74
179,11-33-13,118.74
180,11-33-14,118.74
181,11-33-15,118.74
182,11-33-16,118.74
183,11-33-17,118.74
184,11-33-18,118.74
185,11-33-19,118.74
186,11-33-20,118.74
187,11-33-21,118.74
188,11-33-23,118.74
