TAL,Time,Price
0,07-30-00,124.00
1,07-30-01,124.00
2,07-30-02,124.00
3,07-30-03,124.00
4,07-30-04,124.00
5,07-30-04,124.00
6,07-30-05,124.00
7,07-30-06,124.00
8,07-30-07,124.00
9,07-30-08,124.00
10,07-30-08,124.00
11,07-30-09,124.00
12,07-30-10,124.00
13,07-30-11,124.00
14,07-30-12,124.00
15,07-30-13,124.00
16,07-30-13,124.00
17,07-30-14,124.00
18,07-30-15,124.00
19,07-30-16,124.00
20,07-30-17,124.00
21,07-30-17,124.00
22,07-30-18,124.00
23,07-30-19,124.00
24,07-30-20,124.00
25,07-30-21,124.00
26,07-30-22,124.00
27,07-30-23,124.00
28,07-30-24,124.00
29,07-30-25,124.00
30,07-30-25,124.00
31,07-30-26,124.00
32,07-30-27,124.00
33,07-30-28,124.00
34,07-30-29,124.00
35,07-30-30,124.00
36,07-30-30,124.00
37,07-30-31,124.00
38,07-30-32,124.00
39,07-30-33,124.0000
40,07-30-34,123.8435
41,07-30-35,123.8435
42,07-30-35,123.8435
43,07-30-36,123.8435
44,07-30-37,123.8435
45,07-30-38,123.8435
46,07-30-39,123.8435
47,07-30-39,123.8435
48,07-30-40,123.8435
49,07-30-41,123.8435
50,07-30-42,123.8435
51,07-30-42,123.8435
52,07-30-43,123.8435
53,07-30-44,123.8435
54,07-30-45,123.8435
55,07-30-46,123.8435
56,07-30-47,123.8435
57,07-30-47,
58,07-30-48,123.8435
59,07-30-49,123.8435
60,07-30-50,123.8435
61,07-30-51,123.8435
62,07-30-52,123.8435
63,07-30-53,123.8435
64,07-30-54,123.8435
65,07-30-55,123.8435
66,07-30-56,123.8435
67,07-30-56,123.8435
68,07-30-57,123.8435
69,07-30-58,123.8435
70,07-30-59,123.8435
71,07-31-00,123.8435
72,07-31-01,123.8435
73,07-31-01,123.8435
74,07-31-02,123.8435
75,07-31-04,123.8435
76,07-31-06,123.8435
77,07-31-09,123.68
78,07-31-09,123.68
79,07-31-10,123.68
80,07-31-11,123.68
81,07-31-12,123.68
82,07-31-13,123.68
83,07-31-13,123.68
84,07-31-14,123.68
85,07-31-15,123.68
86,07-31-16,123.68
