TAL,Time,Price
0,10-30-01,120.35
1,10-30-02,120.35
2,10-30-03,120.35
3,10-30-04,120.35
4,10-30-05,120.35
5,10-30-06,120.64
6,10-30-08,120.64
7,10-30-09,120.64
8,10-30-10,120.64
9,10-30-11,120.64
10,10-30-12,120.64
11,10-30-13,120.64
12,10-30-14,120.64
13,10-30-15,120.64
14,10-30-16,120.64
15,10-30-17,120.64
16,10-30-18,120.64
17,10-30-20,120.64
18,10-30-21,120.64
19,10-30-22,120.64
20,10-30-23,120.64
21,10-30-24,120.64
22,10-30-25,120.64
23,10-30-26,120.64
24,10-30-27,120.64
25,10-30-28,120.64
26,10-30-29,120.64
27,10-30-30,120.64
28,10-30-31,120.64
29,10-30-32,120.64
30,10-30-34,120.64
31,10-30-35,120.64
32,10-30-37,120.64
33,10-30-38,120.64
34,10-30-39,120.64
35,10-30-40,120.64
36,10-30-41,120.64
37,10-30-42,120.64
38,10-30-43,120.64
39,10-30-44,120.64
40,10-30-45,120.64
41,10-30-46,120.64
42,10-30-48,120.64
43,10-30-49,120.64
44,10-30-50,120.64
45,10-30-51,120.64
46,10-30-52,120.64
47,10-30-53,120.64
48,10-30-54,120.64
49,10-30-55,120.64
50,10-30-56,120.64
51,10-30-57,120.64
52,10-30-59,120.96
53,10-31-00,120.96
54,10-31-01,120.96
55,10-31-02,120.96
56,10-31-03,120.96
57,10-31-04,120.8755
58,10-31-05,120.8755
59,10-31-06,120.8755
60,10-31-07,120.8755
61,10-31-08,120.8755
62,10-31-09,120.8755
63,10-31-11,120.8755
64,10-31-12,120.8755
65,10-31-13,120.8755
66,10-31-14,120.8755
67,10-31-15,120.8755
68,10-31-16,120.8755
69,10-31-17,120.8755
70,10-31-18,120.8755
71,10-31-19,
72,10-31-19,120.8755
73,10-31-20,120.8755
74,10-31-21,120.8755
75,10-31-22,120.8755
76,10-31-23,120.8755
77,10-31-24,120.8755
78,10-31-25,120.8755
79,10-31-26,120.8755
80,10-31-27,120.8755
81,10-31-28,120.8755
82,10-31-29,120.8755
83,10-31-30,120.8755
84,10-31-31,120.8755
85,10-31-33,120.8755
86,10-31-34,120.8755
87,10-31-35,120.8755
