,Time,Price
0,08-30-00,971.52
1,08-30-01,971.52
2,08-30-02,971.52
3,08-30-03,971.52
4,08-30-04,971.52
5,08-30-05,971.52
6,08-30-05,971.52
7,08-30-06,971.77
8,08-30-07,971.77
9,08-30-08,971.77
10,08-30-09,971.77
11,08-30-10,971.77
12,08-30-11,971.77
13,08-30-12,971.77
14,08-30-13,971.77
15,08-30-13,971.77
16,08-30-14,971.77
17,08-30-15,971.77
18,08-30-16,971.77
19,08-30-16,971.77
20,08-30-17,971.77
21,08-30-18,971.77
22,08-30-19,971.77
23,08-30-20,971.77
24,08-30-21,971.77
25,08-30-22,971.77
26,08-30-22,971.77
27,08-30-23,971.77
28,08-30-24,971.77
29,08-30-25,971.77
30,08-30-26,971.77
31,08-30-27,971.77
32,08-30-28,971.77
33,08-30-28,971.77
34,08-30-29,971.77
35,08-30-30,971.46
36,08-30-31,971.46
37,08-30-32,971.46
38,08-30-34,971.46
39,08-30-35,971.46
40,08-30-36,971.46
41,08-30-37,971.46
42,08-30-38,971.46
43,08-30-38,971.46
44,08-30-39,971.46
45,08-30-40,971.46
46,08-30-41,971.46
47,08-30-42,971.46
48,08-30-42,971.46
49,08-30-43,971.46
50,08-30-44,971.46
51,08-30-45,971.46
52,08-30-46,971.46
53,08-30-47,971.46
54,08-30-48,971.46
55,08-30-48,971.46
56,08-30-49,971.46
57,08-30-50,971.46
58,08-30-51,971.46
59,08-30-52,971.46
60,08-30-53,971.46
61,08-30-53,971.46
62,08-30-54,971.46
63,08-30-55,971.46
64,08-30-56,971.46
65,08-30-57,971.46
66,08-30-58,971.46
67,08-30-58,971.46
68,08-30-59,971.46
69,08-31-00,971.46
70,08-31-01,971.46
71,08-31-02,971.46
72,08-31-03,971.46
73,08-31-03,971.46
74,08-31-04,971.46
75,08-31-05,971.46
76,08-31-06,971.46
77,08-31-07,971.46
78,08-31-08,971.46
79,08-31-09,971.46
80,08-31-10,971.46
81,08-31-11,971.46
82,08-31-11,971.46
83,08-31-12,971.46
84,08-31-13,971.46
85,08-31-14,971.50
86,08-31-15,971.50
87,08-31-16,971.50
88,08-31-17,971.50
89,08-31-18,971.50
90,08-31-19,971.50
91,08-31-20,971.50
92,08-31-21,971.50
93,08-31-22,971.50
94,08-31-22,971.50
95,08-31-23,971.50
96,08-31-24,971.12
97,08-31-25,971.12
98,08-31-26,971.12
99,08-31-27,971.12
100,08-31-27,971.12
101,08-31-28,971.12
102,08-31-29,971.12
103,08-31-30,971.12
104,08-31-31,971.12
105,08-31-32,971.12
106,08-31-32,971.12
107,08-31-33,971.12
108,08-31-34,971.12
109,08-31-35,971.12
110,08-31-36,971.12
111,08-31-37,971.12
112,08-31-37,971.12
113,08-31-38,971.12
114,08-31-39,971.12
115,08-31-40,971.12
116,08-31-41,971.12
117,08-31-42,971.12
118,08-31-43,971.12
119,08-31-44,971.12
120,08-31-45,971.12
121,08-31-46,971.12
122,08-31-46,971.12
123,08-31-47,971.12
124,08-31-48,971.12
125,08-31-49,971.12
126,08-31-50,971.12
127,08-31-51,971.12
128,08-31-51,971.12
129,08-31-52,971.12
130,08-31-53,971.12
131,08-31-54,971.12
132,08-31-55,971.12
133,08-31-55,971.12
134,08-31-56,971.12
135,08-31-57,971.12
136,08-31-58,971.12
137,08-31-59,971.12
138,08-31-59,971.12
139,08-32-00,971.12
140,08-32-01,971.12
141,08-32-02,971.12
142,08-32-03,971.12
143,08-32-04,971.12
144,08-32-04,971.12
145,08-32-05,971.12
146,08-32-06,971.12
147,08-32-07,971.12
148,08-32-08,971.12
149,08-32-09,971.12
150,08-32-10,971.12
151,08-32-11,971.12
152,08-32-12,971.12
153,08-32-12,971.12
154,08-32-13,971.12
155,08-32-14,971.12
156,08-32-15,971.12
157,08-32-15,971.12
158,08-32-16,971.12
159,08-32-17,971.56
160,08-32-18,971.56
161,08-32-19,971.56
162,08-32-20,971.56
163,08-32-21,971.56
164,08-32-21,971.56
165,08-32-22,971.56
166,08-32-23,971.5600
167,08-32-24,971.5600
168,08-32-24,971.4173
169,08-32-25,971.4173
170,08-32-26,971.4173
171,08-32-27,971.4173
172,08-32-28,971.4173
173,08-32-29,971.4173
174,08-32-29,971.4173
175,08-32-30,971.4173
176,08-32-31,971.4173
177,08-32-32,971.42
178,08-32-33,971.42
179,08-32-34,971.42
180,08-32-35,971.42
181,08-32-36,971.61
182,08-32-37,971.61
183,08-32-37,971.61
184,08-32-39,971.6100
185,08-32-39,971.9387
186,08-32-41,971.9387
187,08-32-41,971.9387
188,08-32-42,971.9387
189,08-32-43,971.9387
190,08-32-44,971.9387
191,08-32-45,971.9387
192,08-32-46,971.9387
193,08-32-47,971.9387
194,08-32-47,971.9387
195,08-32-48,971.94
196,08-32-49,971.94
197,08-32-50,971.94
198,08-32-50,971.82
199,08-32-51,971.82
200,08-32-52,971.82
201,08-32-53,971.82
202,08-32-54,971.8200
203,08-32-55,971.81
204,08-32-56,971.81
205,08-32-57,971.81
206,08-32-58,971.81
207,08-32-58,971.81
208,08-32-59,971.81
209,08-33-00,971.81
210,08-33-01,971.81
211,08-33-02,971.81
212,08-33-03,971.81
213,08-33-04,971.89
214,08-33-05,971.89
215,08-33-06,971.89
216,08-33-07,971.89
217,08-33-07,971.89
218,08-33-08,971.890
219,08-33-09,971.890
220,08-33-10,971.890
221,08-33-11,971.890
222,08-33-12,971.890
223,08-33-13,971.52
224,08-33-13,971.52
225,08-33-14,971.52
226,08-33-15,971.52
227,08-33-16,971.52
228,08-33-17,971.67
229,08-33-18,971.67
230,08-33-18,971.67
231,08-33-19,971.67
232,08-33-20,971.67
233,08-33-21,971.67
234,08-33-21,971.670
235,08-33-22,971.670
236,08-33-23,971.624
237,08-33-24,971.624
238,08-33-25,971.624
239,08-33-25,971.624
240,08-33-26,971.624
241,08-33-27,971.624
242,08-33-28,971.624
243,08-33-29,971.624
244,08-33-30,971.624
245,08-33-31,971.624
246,08-33-32,971.624
247,08-33-32,971.624
248,08-33-33,971.624
249,08-33-34,971.624
250,08-33-35,971.624
251,08-33-35,971.624
252,08-33-36,971.624
253,08-33-37,971.624
254,08-33-38,971.624
255,08-33-39,971.624
256,08-33-40,971.624
257,08-33-41,971.624
258,08-33-42,971.624
259,08-33-42,971.624
260,08-33-43,971.624
261,08-33-44,971.624
262,08-33-45,971.624
263,08-33-46,971.624
264,08-33-47,971.624
265,08-33-47,971.624
266,08-33-48,971.624
267,08-33-49,971.624
268,08-33-50,971.624
269,08-33-51,971.624
270,08-33-52,971.624
271,08-33-53,971.624
272,08-33-54,971.624
273,08-33-55,971.624
274,08-33-56,971.624
275,08-33-57,971.624
276,08-33-58,971.624
277,08-33-59,971.624
