AAPL,Time,Price
0,11-30-01,149.53
1,11-30-02,149.55
2,11-30-03,149.55
3,11-30-04,149.55
4,11-30-05,149.570
5,11-30-07,149.57
6,11-30-08,149.54
7,11-30-09,149.54
8,11-30-10,149.550
9,11-30-11,149.55
10,11-30-12,149.55
11,11-30-13,149.54
12,11-30-14,149.54
13,11-30-15,149.60
14,11-30-17,149.55
15,11-30-18,149.55
16,11-30-19,149.53
17,11-30-20,149.53
18,11-30-22,149.5311
19,11-30-23,149.5311
20,11-30-24,149.54
21,11-30-25,149.52
22,11-30-26,149.52
23,11-30-28,149.51
24,11-30-29,149.51
25,11-30-30,149.49
26,11-30-31,149.50
27,11-30-32,149.4908
28,11-30-33,149.4797
29,11-30-34,149.49
30,11-30-36,149.49
31,11-30-37,149.49
32,11-30-39,149.48
33,11-30-39,149.47
34,11-30-40,149.49
35,11-30-42,149.49
36,11-30-43,149.4834
37,11-30-44,149.47
38,11-30-45,149.4800
39,11-30-46,149.5200
40,11-30-47,149.5117
41,11-30-49,149.5543
42,11-30-49,149.55
43,11-30-51,149.50
44,11-30-52,149.500
45,11-30-53,149.5140
46,11-30-55,149.51
47,11-30-56,149.5100
48,11-30-57,149.50
49,11-30-58,149.50
50,11-30-59,149.50
51,11-31-00,149.56
52,11-31-01,149.53
53,11-31-02,149.53
54,11-31-03,149.47
55,11-31-05,149.47
56,11-31-06,149.4525
57,11-31-07,149.45
58,11-31-09,149.405
59,11-31-10,149.41
60,11-31-11,149.43
61,11-31-12,149.44
62,11-31-14,149.38
63,11-31-15,149.3600
64,11-31-16,149.40
65,11-31-17,149.40
66,11-31-18,149.405
67,11-31-19,149.40
68,11-31-20,149.42
69,11-31-22,149.425
70,11-31-23,149.4200
71,11-31-24,149.430
72,11-31-25,149.43
73,11-31-26,149.43
74,11-31-27,149.4508
75,11-31-29,149.433
76,11-31-30,149.43
77,11-31-31,149.4399
78,11-31-32,149.47
79,11-31-34,149.42
80,11-31-35,149.4105
81,11-31-36,149.41
82,11-31-37,149.413
83,11-31-39,149.44
84,11-31-40,149.44
85,11-31-41,149.46
86,11-31-42,149.46
87,11-31-43,149.47
88,11-31-44,149.47
89,11-31-45,149.46
90,11-31-47,149.4800
91,11-31-47,149.4800
92,11-31-48,149.475
93,11-31-49,149.48
94,11-31-50,149.42
95,11-31-52,149.4200
96,11-31-53,149.48
97,11-31-54,149.455
98,11-31-55,149.47
99,11-31-56,149.490
100,11-31-58,149.45
101,11-31-59,149.46
102,11-32-00,149.4700
103,11-32-02,149.45
104,11-32-03,149.4500
105,11-32-04,149.44
106,11-32-05,149.44
107,11-32-06,149.40
108,11-32-07,149.40
109,11-32-08,149.380
110,11-32-10,149.37
111,11-32-11,149.3700
112,11-32-12,149.3861
113,11-32-13,149.3861
114,11-32-14,149.38
115,11-32-16,149.38
116,11-32-17,149.37
117,11-32-19,149.30
118,11-32-20,149.30
119,11-32-21,149.32
120,11-32-22,149.32
121,11-32-23,149.32
122,11-32-24,149.33
123,11-32-25,149.32
124,11-32-26,149.32
125,11-32-27,149.3200
126,11-32-28,149.32
127,11-32-29,149.32
128,11-32-30,149.330
129,11-32-32,149.3300
130,11-32-33,149.31
131,11-32-34,149.28
132,11-32-35,149.28
133,11-32-36,149.2799
134,11-32-38,149.27
135,11-32-39,149.2700
136,11-32-40,149.26
137,11-32-41,149.25
138,11-32-42,149.25
139,11-32-43,149.240
140,11-32-44,149.231
141,11-32-45,149.23
142,11-32-47,149.24
143,11-32-48,149.250
144,11-32-50,149.26
145,11-32-51,149.260
146,11-32-52,149.28
147,11-32-54,149.27
148,11-32-55,149.22
149,11-32-56,149.21
150,11-32-57,149.21
151,11-32-58,149.2100
152,11-32-59,149.21
153,11-33-00,149.21
154,11-33-02,149.215
155,11-33-03,
156,11-33-04,149.19
157,11-33-05,149.1900
158,11-33-06,149.1800
159,11-33-07,149.1800
160,11-33-08,149.180
161,11-33-09,149.20
162,11-33-10,149.1500
163,11-33-12,149.17
164,11-33-13,149.1925
165,11-33-14,149.19
166,11-33-15,149.220
167,11-33-16,149.25
168,11-33-17,149.2300
169,11-33-18,149.2300
170,11-33-20,149.22
171,11-33-21,149.24
172,11-33-22,149.2401
173,11-33-23,149.2531
174,11-33-24,149.23
175,11-33-25,149.20
176,11-33-26,149.20
177,11-33-27,149.20
178,11-33-28,149.11
179,11-33-29,149.10
180,11-33-30,149.1149
181,11-33-31,149.12
182,11-33-33,149.10
183,11-33-34,149.19
184,11-33-35,149.19
185,11-33-36,149.17
186,11-33-38,149.1592
187,11-33-39,149.21
188,11-33-40,149.21
189,11-33-41,149.1849
190,11-33-42,149.18
191,11-33-43,149.20
192,11-33-44,149.1905
193,11-33-45,149.1905
194,11-33-46,149.15
195,11-33-48,149.15
196,11-33-48,149.15
197,11-33-50,149.15
198,11-33-51,149.1208
199,11-33-52,149.1208
200,11-33-53,149.1099
201,11-33-54,149.092
202,11-33-55,149.088
203,11-33-57,149.09
204,11-33-57,149.09
205,11-33-59,149.08
206,11-34-00,149.05
207,11-34-01,149.05
208,11-34-02,149.0366
209,11-34-03,149.06
210,11-34-05,149.0500
211,11-34-06,149.03
212,11-34-07,149.05
213,11-34-08,149.01
214,11-34-09,149.08
215,11-34-10,149.08
216,11-34-11,149.08
217,11-34-12,149.07
218,11-34-13,149.07
219,11-34-14,149.07
220,11-34-15,149.07
221,11-34-16,149.07
222,11-34-17,149.05
223,11-34-19,149.10
224,11-34-20,149.1000
225,11-34-21,149.13
226,11-34-22,149.13
227,11-34-23,149.13
228,11-34-24,149.09
229,11-34-26,149.0900
230,11-34-27,149.09
231,11-34-28,149.09
232,11-34-29,149.08
233,11-34-31,149.10
234,11-34-32,149.08
235,11-34-33,149.0800
236,11-34-34,149.09
237,11-34-35,149.09
238,11-34-36,149.0900
239,11-34-37,149.0900
240,11-34-38,149.0441
241,11-34-40,149.05
242,11-34-41,149.0513
243,11-34-42,149.07
244,11-34-43,149.08
245,11-34-44,149.03
246,11-34-45,149.02
247,11-34-46,149.027
248,11-34-48,149.00
249,11-34-49,148.97
250,11-34-50,148.94
251,11-34-51,148.9438
252,11-34-52,148.93
253,11-34-53,148.94
254,11-34-54,148.98
255,11-34-56,148.88
256,11-34-57,148.9101
257,11-34-58,148.92
258,11-35-00,148.96
259,11-35-01,148.93
260,11-35-02,148.93
261,11-35-03,148.91
262,11-35-04,148.94
263,11-35-06,148.94
264,11-35-07,148.94
265,11-35-08,148.94
266,11-35-09,148.95
267,11-35-10,149.01
268,11-35-11,149.000
269,11-35-13,149.0282
270,11-35-14,149.06
271,11-35-15,149.06
272,11-35-16,149.0600
273,11-35-17,149.051
274,11-35-18,149.051
275,11-35-19,149.04
276,11-35-21,149.09
277,11-35-22,149.060
278,11-35-23,149.0723
279,11-35-24,149.09
280,11-35-25,149.09
281,11-35-27,149.0313
