AAPL,Time,Price
0,10-30-21,150.53
1,10-30-22,150.47
2,10-30-23,150.47
3,10-30-24,150.47
4,10-30-25,150.4999
5,10-30-27,150.50
6,10-30-28,150.48
7,10-30-29,150.499
8,10-30-31,150.49
9,10-30-32,150.5100
10,10-30-33,150.5100
11,10-30-34,150.50
12,10-30-35,150.46
13,10-30-36,150.450
14,10-30-37,150.450
15,10-30-39,150.44
16,10-30-40,150.44
17,10-30-42,150.4423
18,10-30-43,150.4423
19,10-30-44,150.51
20,10-30-45,150.51
21,10-30-46,150.461
22,10-30-47,150.4610
23,10-30-49,150.46
24,10-30-50,150.43
25,10-30-51,150.41
26,10-30-52,150.42
27,10-30-53,150.42
28,10-30-55,150.39
29,10-30-56,150.39
30,10-30-57,150.3980
31,10-30-58,150.3980
32,10-30-59,150.401
33,10-31-00,150.37
34,10-31-02,150.40
35,10-31-03,150.39
36,10-31-04,150.3900
37,10-31-05,150.39
38,10-31-06,150.39
39,10-31-07,150.48
40,10-31-09,150.480
41,10-31-10,150.4650
42,10-31-11,150.46
43,10-31-12,150.46
44,10-31-13,150.43
45,10-31-14,150.43
46,10-31-16,150.43
47,10-31-17,150.43
48,10-31-18,150.48
49,10-31-19,150.48
50,10-31-20,150.4997
51,10-31-21,150.50
52,10-31-22,150.38
53,10-31-24,150.37
54,10-31-25,150.370
55,10-31-26,150.39
56,10-31-27,150.38
57,10-31-29,150.40
58,10-31-29,150.38
59,10-31-31,150.4000
60,10-31-32,150.4539
61,10-31-33,150.4539
62,10-31-34,150.4599
63,10-31-35,150.438
64,10-31-36,150.445
65,10-31-37,150.445
66,10-31-38,150.4186
67,10-31-40,150.41
68,10-31-41,150.42
69,10-31-43,150.4200
70,10-31-44,150.44
71,10-31-45,150.39
72,10-31-46,150.3900
73,10-31-47,150.3900
74,10-31-48,150.40
75,10-31-49,150.57
76,10-31-51,150.42
77,10-31-52,150.45
78,10-31-53,150.45
79,10-31-54,150.45
80,10-31-56,150.45
81,10-31-57,150.44
82,10-31-57,150.44
83,10-31-59,150.44
84,10-32-00,150.4400
85,10-32-01,150.4400
86,10-32-02,150.458
87,10-32-03,150.44
88,10-32-05,150.445
89,10-32-06,150.45
90,10-32-07,150.45
91,10-32-08,150.46
92,10-32-09,150.46
93,10-32-10,150.455
94,10-32-11,150.45
95,10-32-13,150.45
96,10-32-14,150.45
97,10-32-15,150.45
98,10-32-16,150.4450
99,10-32-17,150.4401
100,10-32-19,150.45
101,10-32-20,150.44
102,10-32-21,150.44
103,10-32-22,150.4400
104,10-32-23,150.48
105,10-32-25,150.4893
106,10-32-26,150.49
107,10-32-27,150.50
108,10-32-28,150.5000
109,10-32-29,150.47
110,10-32-30,150.4707
111,10-32-31,150.4707
112,10-32-33,150.463
113,10-32-34,150.463
114,10-32-35,150.48
115,10-32-36,150.48
116,10-32-37,150.4927
117,10-32-39,150.4927
118,10-32-40,150.51
119,10-32-42,150.50
120,10-32-43,150.5000
121,10-32-44,150.5007
122,10-32-45,150.50
123,10-32-47,150.52
124,10-32-48,150.51
125,10-32-49,150.51
126,10-32-50,150.51
127,10-32-51,150.51
128,10-32-53,150.59
129,10-32-54,150.59
130,10-32-55,150.59
131,10-32-56,150.5785
132,10-32-57,150.5761
133,10-32-58,150.58
134,10-33-00,150.56
135,10-33-01,150.56
136,10-33-03,150.53
137,10-33-05,150.5398
138,10-33-06,150.53
139,10-33-08,150.53
140,10-33-10,150.510
141,10-33-11,150.51
142,10-33-13,150.5399
143,10-33-14,150.52
144,10-33-16,150.490
145,10-33-17,150.49
146,10-33-18,150.490
147,10-33-20,150.49
148,10-33-22,
149,10-33-24,150.50
150,10-33-25,150.489
151,10-33-26,150.50
152,10-33-28,150.50
153,10-33-29,150.4850
154,10-33-31,150.46
155,10-33-32,150.45
156,10-33-34,150.45
157,10-33-35,150.46
158,10-33-37,150.47
159,10-33-39,150.510
160,10-33-40,150.51
161,10-33-41,150.5167
162,10-33-43,150.52
163,10-33-45,150.5300
164,10-33-46,150.53
165,10-33-47,150.5288
166,10-33-48,150.56
167,10-33-50,150.54
168,10-33-51,150.54
169,10-33-53,150.55
170,10-33-54,150.55
171,10-33-55,150.51
172,10-33-56,150.49
173,10-33-57,150.46
174,10-33-58,150.48
175,10-34-00,150.47
176,10-34-01,150.4700
177,10-34-02,150.4899
178,10-34-03,150.49
179,10-34-04,150.49
180,10-34-06,150.46
181,10-34-07,150.46
182,10-34-08,150.450
183,10-34-09,150.43
184,10-34-10,150.45
185,10-34-11,150.45
186,10-34-13,150.45
187,10-34-14,150.45
188,10-34-15,150.44
189,10-34-16,150.4400
190,10-34-17,150.44
191,10-34-18,150.44
192,10-34-20,150.45
193,10-34-21,150.4399
194,10-34-22,150.44
195,10-34-23,150.4100
196,10-34-25,150.41
197,10-34-26,150.43
198,10-34-27,150.4318
199,10-34-28,150.4318
200,10-34-29,150.46
201,10-34-30,150.45
202,10-34-31,150.44
203,10-34-32,150.44
204,10-34-34,150.44
205,10-34-35,150.455
206,10-34-36,150.4500
207,10-34-37,150.4461
208,10-34-38,150.4321
209,10-34-40,150.43
210,10-34-41,150.45
211,10-34-42,150.4412
212,10-34-43,150.45
213,10-34-44,150.4500
214,10-34-45,150.4498
215,10-34-46,150.45
216,10-34-47,150.45
217,10-34-48,150.44
218,10-34-49,150.42
219,10-34-50,150.420
220,10-34-51,150.4200
221,10-34-53,150.42
222,10-34-54,150.4200
223,10-34-55,150.42
224,10-34-56,150.41
225,10-34-57,150.40
226,10-34-59,150.40
227,10-35-00,150.40
228,10-35-01,150.4001
229,10-35-02,150.40
230,10-35-03,150.400
231,10-35-04,150.446
232,10-35-05,150.45
233,10-35-06,150.45
234,10-35-07,150.41
235,10-35-08,150.43
236,10-35-09,150.4201
237,10-35-11,150.4201
238,10-35-12,150.4600
239,10-35-13,150.430
240,10-35-14,150.4301
241,10-35-16,150.43
242,10-35-17,150.43
243,10-35-18,150.43
244,10-35-19,150.44
245,10-35-20,150.4279
246,10-35-21,150.4279
247,10-35-22,150.43
248,10-35-24,150.43
249,10-35-25,150.4201
250,10-35-26,150.42
251,10-35-27,150.4046
252,10-35-28,150.4198
253,10-35-29,150.40
254,10-35-30,150.39
255,10-35-31,150.40
256,10-35-33,150.42
257,10-35-34,150.39
258,10-35-35,150.3900
259,10-35-35,150.3900
260,10-35-36,150.4019
261,10-35-37,150.40
262,10-35-39,150.40
263,10-35-39,150.3812
264,10-35-40,150.3812
265,10-35-41,150.37
266,10-35-42,150.36
267,10-35-44,150.3600
268,10-35-45,150.3525
269,10-35-46,150.35
270,10-35-47,150.3525
271,10-35-48,150.3700
272,10-35-49,150.3700
273,10-35-50,150.37
274,10-35-51,150.370
275,10-35-53,150.370
276,10-35-54,150.3500
277,10-35-55,150.3592
278,10-35-56,150.36
279,10-35-57,150.359
280,10-35-58,150.36
281,10-35-58,150.355
282,10-36-00,150.3550
283,10-36-01,150.34
284,10-36-02,150.340
285,10-36-03,150.3400
286,10-36-05,150.3400
287,10-36-06,150.30
288,10-36-07,150.27
289,10-36-08,150.27
290,10-36-09,150.30
291,10-36-10,150.30
292,10-36-11,150.28
293,10-36-12,150.28
294,10-36-13,150.26
295,10-36-15,150.2601
296,10-36-16,150.26
297,10-36-17,150.26
298,10-36-18,150.28
299,10-36-20,150.28
300,10-36-21,150.28
301,10-36-22,150.25
302,10-36-23,150.25
303,10-36-24,150.26
304,10-36-25,150.23
305,10-36-26,150.23
306,10-36-27,150.2267
307,10-36-29,150.23
308,10-36-29,150.2267
309,10-36-31,150.2267
310,10-36-32,150.230
311,10-36-33,150.23
312,10-36-35,150.225
313,10-36-36,150.2100
314,10-36-37,150.2100
315,10-36-38,150.2100
316,10-36-39,150.20
317,10-36-40,150.20
318,10-36-41,150.20
319,10-36-43,150.210
320,10-36-44,150.21
321,10-36-45,150.1800
322,10-36-46,150.19
323,10-36-48,150.16
324,10-36-49,150.176
325,10-36-50,150.16
326,10-36-51,150.16
327,10-36-52,150.18
328,10-36-54,150.1897
329,10-36-55,150.20
330,10-36-56,150.20
331,10-36-57,150.25
332,10-36-58,150.23
333,10-36-59,150.23
334,10-37-00,150.22
335,10-37-01,150.2078
336,10-37-02,150.19
337,10-37-09,150.18
338,10-37-10,150.12
339,10-37-12,150.12
340,10-37-13,150.1600
341,10-37-14,150.1600
342,10-37-15,150.1299
343,10-37-16,150.03
344,10-37-17,150.04
345,10-37-18,150.06
346,10-37-19,150.06
347,10-37-20,150.05
348,10-37-22,150.0300
349,10-37-23,150.06
350,10-37-24,150.03
351,10-37-25,150.04
352,10-37-26,150.04
353,10-37-27,150.08
354,10-37-28,150.11
355,10-37-29,150.1279
356,10-37-30,150.11
357,10-37-31,150.1100
358,10-37-33,150.13
359,10-37-34,150.11
360,10-37-35,150.11
361,10-37-36,150.11
362,10-37-37,150.1500
363,10-37-38,150.119
364,10-37-40,150.1320
365,10-37-41,150.19
366,10-37-42,150.239
367,10-37-43,150.23
368,10-37-44,150.2335
369,10-37-45,150.2335
370,10-37-46,150.20
371,10-37-47,150.15
372,10-37-48,150.1500
373,10-37-49,150.15
374,10-37-50,150.16
375,10-37-51,150.16
376,10-37-52,150.16
377,10-37-53,150.1500
378,10-37-54,150.1454
379,10-37-55,150.1454
380,10-37-56,150.15
381,10-38-00,150.160
382,10-38-01,150.160
383,10-38-02,150.16
384,10-38-03,150.16
385,10-38-04,150.1900
386,10-38-05,150.18
387,10-38-06,150.20
388,10-38-07,150.20
389,10-38-08,150.20
390,10-38-09,150.14
391,10-38-10,150.1101
392,10-38-11,150.11
393,10-38-12,150.15
394,10-38-13,150.13
395,10-38-14,150.1320
396,10-38-15,150.11
397,10-38-16,150.1100
398,10-38-17,150.10
399,10-38-18,150.10
400,10-38-19,150.12
401,10-38-21,150.12
402,10-38-22,150.1200
403,10-38-23,150.1100
404,10-38-26,150.1100
405,10-38-27,150.05
406,10-38-28,150.05
407,10-38-29,150.05
408,10-38-30,150.05
409,10-38-31,150.05
410,10-38-32,149.86
411,10-38-33,149.68
412,10-38-37,149.76
413,10-38-38,149.74
414,10-38-39,149.722
415,10-38-40,149.60
416,10-38-41,149.52
417,10-38-42,149.52
418,10-38-43,149.57
419,10-38-44,149.5500
420,10-38-50,150.1201
421,10-38-51,149.4950
422,10-38-55,149.49
423,10-38-56,
424,10-38-57,149.46
425,10-38-59,149.44
426,10-39-01,149.4450
427,10-39-01,149.43
428,10-39-04,149.435
429,10-39-05,149.44
430,10-39-06,149.52
431,10-39-08,149.54
432,10-39-09,149.62
433,10-39-10,149.59
434,10-39-11,149.61
435,10-39-12,149.62
436,10-39-13,149.62
437,10-39-15,149.58
438,10-39-16,149.60
439,10-39-16,149.55
440,10-39-17,149.6047
441,10-39-19,149.6047
442,10-39-20,149.5132
443,10-39-21,149.5132
444,10-39-22,149.45
445,10-39-23,149.51
446,10-39-23,149.4950
447,10-39-28,149.52
448,10-39-29,149.51
449,10-39-31,149.49
450,10-39-32,149.45
451,10-39-33,149.4578
452,10-39-34,149.30
453,10-39-36,149.26
454,10-39-37,149.28
455,10-39-38,149.29
456,10-39-39,149.2792
457,10-39-41,149.2600
458,10-39-42,149.24
459,10-39-43,149.22
460,10-39-45,149.18
461,10-39-46,149.19
462,10-39-47,149.1900
463,10-39-48,149.20
464,10-39-49,149.17
465,10-39-51,149.1595
466,10-39-52,149.1595
467,10-39-54,149.18
468,10-39-55,149.18
469,10-39-57,149.2000
470,10-39-58,149.19
471,10-39-59,149.21
472,10-40-01,149.21
473,10-40-02,149.2200
474,10-40-03,149.17
475,10-40-05,149.22
476,10-40-06,148.530
477,10-40-07,148.46
478,10-40-08,148.6400
479,10-40-09,148.64
480,10-40-10,148.57
481,10-40-11,148.67
482,10-40-12,148.6765
483,10-40-13,148.6765
484,10-40-14,148.74
485,10-40-15,148.75
486,10-40-17,148.7239
487,10-40-18,148.72
488,10-40-19,148.77
489,10-40-20,148.82
490,10-40-21,148.82
491,10-40-25,148.89
492,10-40-26,148.89
493,10-40-27,148.895
494,10-40-28,149.03
495,10-40-30,149.01
496,10-40-31,149.0146
497,10-40-32,149.01
498,10-40-33,149.05
499,10-40-34,149.06
500,10-40-35,149.10
501,10-40-36,149.15
502,10-40-37,149.15
503,10-40-38,149.11
504,10-40-39,149.11
505,10-40-40,149.1198
506,10-40-41,149.12
507,10-40-42,149.13
508,10-40-43,149.11
509,10-40-44,149.12
510,10-40-45,149.120
511,10-40-46,149.1500
512,10-40-47,149.135
513,10-40-49,149.1350
514,10-40-49,149.20
515,10-40-50,149.2077
516,10-40-51,149.18
517,10-40-52,149.125
518,10-40-53,149.12
519,10-40-55,149.12
520,10-40-56,149.130
521,10-40-57,149.1300
522,10-40-58,149.1300
523,10-40-59,149.11
524,10-41-00,149.1001
525,10-41-01,149.1001
526,10-41-02,149.1001
527,10-41-07,149.075
528,10-41-08,149.075
529,10-41-09,149.0750
530,10-41-10,149.18
531,10-41-12,149.18
532,10-41-13,149.1712
533,10-41-14,149.1712
534,10-41-15,149.17
535,10-41-16,149.17
536,10-41-17,149.18
537,10-41-18,149.180
538,10-41-22,149.16
539,10-41-23,149.15
540,10-41-24,149.15
541,10-41-25,149.18
542,10-41-27,149.1800
543,10-41-28,149.17
544,10-41-29,149.1700
545,10-41-31,149.145
546,10-41-32,149.15
547,10-41-33,149.17
548,10-41-34,149.15
549,10-41-35,149.13
550,10-41-35,149.14
551,10-41-37,149.12
552,10-41-38,149.12
553,10-41-39,149.13
554,10-41-40,149.13
555,10-41-41,149.140
556,10-41-42,149.14
557,10-41-42,149.145
558,10-41-43,149.15
559,10-41-44,149.17
560,10-41-45,149.17
561,10-41-46,149.166
562,10-41-47,149.12
563,10-41-49,149.14
564,10-41-50,149.06
565,10-41-51,149.070
566,10-41-52,149.070
567,10-41-53,149.12
568,10-41-54,149.16
569,10-41-55,149.16
570,10-41-57,149.16
571,10-41-58,149.16
572,10-41-59,149.13
573,10-42-00,149.08
574,10-42-01,149.045
575,10-42-02,149.04
576,10-42-03,149.0461
577,10-42-04,149.02
578,10-42-05,149.04
579,10-42-08,149.031
