AAPL,Time,Price
0,07-30-00,155.01
1,07-30-01,155.01
2,07-30-02,155.02
3,07-30-03,155.02
4,07-30-04,155.02
5,07-30-05,155.02
6,07-30-06,155.02
7,07-30-06,155.0200
8,07-30-07,155.0200
9,07-30-08,155.0200
10,07-30-09,155.0200
11,07-30-10,155.0200
12,07-30-11,155.02
13,07-30-12,155.02
14,07-30-13,155.020
15,07-30-13,155.015
16,07-30-14,155.015
17,07-30-15,155.01
18,07-30-16,155.01
19,07-30-17,155.02
20,07-30-18,155.02
21,07-30-19,155.02
22,07-30-19,155.01
23,07-30-20,155.01
24,07-30-21,155.015
25,07-30-22,155.01
26,07-30-23,155.01
27,07-30-24,155.0150
28,07-30-25,155.0150
29,07-30-26,155.01
30,07-30-26,155.01
31,07-30-27,155.01
32,07-30-28,155.02
33,07-30-29,155.02
34,07-30-30,155.02
35,07-30-31,155.02
36,07-30-32,155.02
37,07-30-33,155.02
38,07-30-34,155.0200
39,07-30-35,155.0189
40,07-30-35,155.02
41,07-30-36,155.02
42,07-30-37,155.02
43,07-30-38,155.02
44,07-30-39,155.02
45,07-30-40,155.020
46,07-30-40,155.014
47,07-30-41,155.02
48,07-30-42,155.02
49,07-30-43,155.02
50,07-30-44,155.02
51,07-30-45,155.02
52,07-30-45,155.02
53,07-30-46,155.02
54,07-30-47,155.02
55,07-30-48,155.01
56,07-30-49,155.01
57,07-30-50,155.01
58,07-30-51,155.0100
59,07-30-52,155.0100
60,07-30-52,155.03
61,07-30-53,155.03
62,07-30-54,155.03
63,07-30-55,155.03
64,07-30-56,155.03
65,07-30-57,155.03
66,07-30-57,155.0300
67,07-30-58,155.0299
68,07-31-00,155.02
69,07-31-00,155.02
70,07-31-01,155.03
71,07-31-02,155.03
72,07-31-03,155.02
73,07-31-04,155.02
74,07-31-05,155.02
75,07-31-06,155.02
76,07-31-06,155.0200
77,07-31-07,155.0100
78,07-31-09,155.01
79,07-31-09,155.00
80,07-31-10,155.02
81,07-31-11,155.02
82,07-31-12,155.02
83,07-31-13,155.02
84,07-31-14,155.02
85,07-31-14,155.02
86,07-31-15,155.02
87,07-31-16,155.02
88,07-31-17,155.02
89,07-31-18,155.02
90,07-31-19,155.020
91,07-31-19,155.020
92,07-31-20,155.01
93,07-31-21,155.01
94,07-31-23,155.01
95,07-31-24,155.0100
96,07-31-28,155.0138
97,07-31-29,155.02
98,07-31-30,155.02
99,07-31-32,155.02
100,07-31-33,155.0300
101,07-31-34,155.05
102,07-31-35,155.05
103,07-31-36,155.0400
104,07-31-38,155.050
105,07-31-39,155.07
106,07-31-40,155.07
107,07-31-41,155.07
108,07-31-42,155.05
109,07-31-43,155.06
110,07-31-44,155.09
111,07-31-45,155.0900
112,07-31-45,155.11
113,07-31-46,155.11
114,07-31-47,155.12
115,07-31-48,155.1200
116,07-31-49,155.1200
117,07-31-50,155.108
118,07-31-50,155.115
119,07-31-51,155.115
120,07-31-52,155.10
121,07-31-53,155.10
122,07-31-54,155.10
123,07-31-55,155.10
124,07-31-56,155.10
125,07-31-57,155.10
126,07-31-58,155.1100
127,07-31-59,155.11
128,07-32-00,155.11
129,07-32-00,155.11
130,07-32-01,155.11
131,07-32-02,155.12
132,07-32-03,155.12
133,07-32-04,155.14
134,07-32-05,155.14
135,07-32-09,155.12
136,07-32-10,155.1150
137,07-32-11,155.12
138,07-32-12,155.12
139,07-32-13,155.12
140,07-32-14,155.12
141,07-32-15,155.12
142,07-32-15,155.12
143,07-32-16,155.1200
144,07-32-17,155.11
145,07-32-18,155.1132
146,07-32-19,155.1132
147,07-32-20,155.1124
148,07-32-20,155.1124
149,07-32-25,155.12
150,07-32-28,155.08
151,07-32-29,155.08
152,07-32-30,155.08
153,07-32-31,155.08
154,07-32-32,155.05
155,07-32-33,155.05
156,07-32-33,155.06
157,07-32-34,155.06
158,07-32-35,155.06
159,07-32-38,155.06
160,07-32-39,155.06
161,07-32-40,155.07
162,07-32-41,155.07
163,07-32-41,155.07
164,07-32-42,155.07
165,07-32-43,155.07
166,07-32-44,155.07
167,07-32-45,155.07
168,07-32-46,155.07
169,07-32-47,155.07
170,07-32-48,155.0700
171,07-32-48,155.0668
172,07-32-49,155.067
173,07-32-50,155.065
174,07-32-51,155.065
175,07-32-52,155.07
176,07-32-53,155.0675
177,07-32-53,155.06
178,07-32-54,155.06
179,07-32-55,155.06
180,07-32-56,155.06
181,07-32-58,155.06
182,07-32-59,155.06
183,07-33-00,155.06
184,07-33-01,155.06
185,07-33-02,155.060
186,07-33-03,155.045
187,07-33-03,155.045
188,07-33-04,155.045
189,07-33-09,155.03
190,07-33-10,155.0300
191,07-33-11,155.04
192,07-33-12,155.05
193,07-33-12,155.04
194,07-33-13,155.04
195,07-33-14,155.04
196,07-33-15,155.04
197,07-33-16,155.04
198,07-33-17,155.04
199,07-33-18,155.04
200,07-33-19,155.04
201,07-33-22,155.020
202,07-33-23,155.02
203,07-33-24,155.010
204,07-33-26,155.01
205,07-33-27,155.01
206,07-33-28,155.015
207,07-33-29,155.01
208,07-33-31,155.015
209,07-33-32,155.0150
210,07-33-32,155.01
211,07-33-33,155.01
212,07-33-34,155.01
213,07-33-35,154.98
214,07-33-37,154.98
215,07-33-38,154.990
216,07-33-39,154.99
217,07-33-39,154.99
218,07-33-40,154.99
219,07-33-42,154.9117
220,07-33-43,154.9117
221,07-33-43,154.93
222,07-33-44,154.93
223,07-33-45,154.95
224,07-33-46,154.95
225,07-33-47,154.96
226,07-33-47,154.96
227,07-33-48,154.96
228,07-33-50,154.97
229,07-33-50,154.97
230,07-33-51,154.97
231,07-33-52,154.97
232,07-33-53,154.98
233,07-33-54,154.99
234,07-33-55,154.99
235,07-33-56,154.990
236,07-33-57,154.990
237,07-33-57,154.995
238,07-33-58,154.995
239,07-33-59,154.995
240,07-34-00,155.00
241,07-34-01,154.99
242,07-34-04,154.99
243,07-34-05,155.00
244,07-34-05,155.0000
245,07-34-07,155.0000
246,07-34-09,154.99
247,07-34-10,154.990
248,07-34-11,154.995
249,07-34-12,154.99
250,07-34-13,154.99
251,07-34-13,154.995
252,07-34-14,154.995
253,07-34-15,154.99
254,07-34-16,154.98
255,07-34-17,154.97
256,07-34-18,154.9676
257,07-34-19,154.9676
258,07-34-19,154.97
259,07-34-20,154.97
260,07-34-21,154.97
261,07-34-22,154.9601
262,07-34-23,154.96
263,07-34-24,154.98
264,07-34-25,154.98
265,07-34-27,154.99
266,07-34-28,154.990
267,07-34-32,155.00
268,07-34-33,154.9901
269,07-34-35,155.01
270,07-34-36,155.01
271,07-34-36,155.01
272,07-34-37,154.995
273,07-34-39,155.01
274,07-34-40,155.01
275,07-34-41,155.005
276,07-34-42,155.005
277,07-34-43,155.01
278,07-34-44,155.01
279,07-34-44,155.01
280,07-34-45,155.005
281,07-34-46,155.01
282,07-34-47,155.005
283,07-34-48,155.005
284,07-34-49,155.00
285,07-34-50,155.000
286,07-34-51,154.995
287,07-34-52,154.995
288,07-34-55,154.9947
289,07-34-56,154.99
290,07-34-57,154.994
291,07-34-58,154.994
292,07-34-59,155.00
293,07-35-00,155.00
294,07-35-01,155.005
295,07-35-02,155.01
296,07-35-03,155.005
297,07-35-05,154.9864
298,07-35-06,154.99
299,07-35-07,154.995
300,07-35-08,154.99
301,07-35-09,154.99
302,07-35-10,154.99
303,07-35-11,155.00
304,07-35-12,155.00
305,07-35-13,155.00
306,07-35-14,155.00
307,07-35-15,155.00
308,07-35-16,155.00
309,07-35-18,155.00
310,07-35-19,155.00
311,07-35-19,155.00
312,07-35-20,155.00
313,07-35-21,155.00
314,07-35-22,155.01
315,07-35-24,155.01
316,07-35-25,155.00
317,07-35-26,155.00
318,07-35-26,155.00
319,07-35-27,154.985
320,07-35-28,154.985
321,07-35-29,154.985
322,07-35-30,155.00
323,07-35-31,155.00
324,07-35-32,155.00
325,07-35-33,155.010
326,07-35-34,155.01
327,07-35-35,155.01
328,07-35-36,154.99
329,07-35-36,154.99
330,07-35-37,154.99
331,07-35-38,154.990
332,07-35-39,154.99
333,07-35-40,154.98
334,07-35-41,154.9892
335,07-35-42,154.97
336,07-35-43,154.97
337,07-35-44,154.96
338,07-35-45,154.96
339,07-35-46,154.96
340,07-35-46,154.96
341,07-35-48,154.960
342,07-35-48,154.9699
343,07-35-50,154.9699
344,07-35-51,154.96
345,07-35-52,154.964
346,07-35-53,154.9750
347,07-35-54,154.9750
348,07-35-54,154.9750
349,07-35-55,154.9701
350,07-35-56,154.97
351,07-35-57,154.97
352,07-35-58,154.98
353,07-35-59,155.00
354,07-36-00,155.00
