GOOG,Time,Price
0,10-30-12,964.51
1,10-30-13,964.51
2,10-30-14,964.51
3,10-30-16,964.51
4,10-30-18,964.51
5,10-30-19,964.51
6,10-30-20,964.51
7,10-30-21,964.95
8,10-30-22,964.95
9,10-30-23,964.95
10,10-30-24,964.95
11,10-30-25,964.95
12,10-30-26,964.95
13,10-30-27,964.95
14,10-30-28,964.95
15,10-30-29,964.95
16,10-30-30,964.95
17,10-30-31,964.95
18,10-30-32,964.95
19,10-30-33,964.950
20,10-30-34,964.950
21,10-30-35,964.950
22,10-30-36,964.69
23,10-30-38,964.64
24,10-30-39,964.64
25,10-30-40,964.64
26,10-30-41,964.64
27,10-30-42,964.64
28,10-30-43,964.6400
29,10-30-44,964.89
30,10-30-45,964.89
31,10-30-46,964.89
32,10-30-47,964.89
33,10-30-48,964.89
34,10-30-49,964.89
35,10-30-51,964.89
36,10-30-52,964.375
37,10-30-53,964.375
38,10-30-54,964.375
39,10-30-55,964.375
40,10-30-56,964.375
41,10-30-57,964.375
42,10-30-58,964.38
43,10-30-59,964.38
44,10-31-00,964.38
45,10-31-01,964.38
46,10-31-02,964.38
47,10-31-04,964.38
48,10-31-05,964.38
49,10-31-06,964.38
50,10-31-07,964.38
51,10-31-09,964.38
52,10-31-10,964.38
53,10-31-11,964.38
54,10-31-12,964.38
55,10-31-13,964.38
56,10-31-14,964.38
57,10-31-15,964.375
58,10-31-16,964.38
59,10-31-17,964.38
60,10-31-18,964.38
61,10-31-19,964.38
62,10-31-20,964.38
63,10-31-22,964.38
64,10-31-23,963.89
65,10-31-24,963.89
66,10-31-25,963.89
67,10-31-26,963.89
68,10-31-27,963.89
69,10-31-28,963.89
70,10-31-29,963.89
71,10-31-30,963.890
72,10-31-32,963.89
73,10-31-33,963.89
74,10-31-34,963.89
75,10-31-35,963.890
76,10-31-37,963.89
77,10-31-38,963.89
78,10-31-39,963.89
79,10-31-40,963.890
80,10-31-41,
81,10-31-42,963.89
82,10-31-43,963.890
83,10-31-44,963.890
84,10-31-45,963.890
85,10-31-46,963.890
86,10-31-47,963.89
87,10-31-48,963.89
88,10-31-49,964.02
89,10-31-51,964.02
90,10-31-52,964.02
91,10-31-53,964.02
92,10-31-54,964.02
93,10-31-55,964.02
94,10-31-56,964.02
95,10-31-58,964.02
96,10-31-59,964.02
97,10-32-00,963.99
98,10-32-01,963.99
99,10-32-02,963.99
100,10-32-03,963.98
101,10-32-04,963.98
102,10-32-05,963.98
103,10-32-06,963.98
104,10-32-07,963.98
105,10-32-08,963.98
106,10-32-10,963.98
107,10-32-11,963.98
108,10-32-12,963.98
109,10-32-13,963.98
110,10-32-14,963.96
111,10-32-15,963.96
112,10-32-16,963.96
113,10-32-17,963.96
114,10-32-18,963.96
115,10-32-21,963.96
116,10-32-21,963.96
117,10-32-22,964.36
118,10-32-23,964.36
119,10-32-24,964.36
120,10-32-25,964.3600
121,10-32-27,964.2797
122,10-32-28,964.28
123,10-32-29,964.2797
124,10-32-30,964.2797
125,10-32-32,964.2797
126,10-32-34,964.28
127,10-32-35,964.28
128,10-32-36,964.28
129,10-32-37,964.02
130,10-32-38,964.0167
131,10-32-39,964.02
132,10-32-40,964.02
133,10-32-41,964.02
134,10-32-43,964.02
135,10-32-44,964.02
136,10-32-45,964.02
137,10-32-46,964.02
138,10-32-47,964.02
139,10-32-48,964.02
140,10-32-49,964.02
141,10-32-50,964.02
142,10-32-52,964.02
143,10-32-53,964.02
144,10-32-54,964.02
145,10-32-55,964.1645
146,10-32-57,964.1645
147,10-32-58,964.1645
148,10-33-00,964.1645
149,10-33-01,964.1645
150,10-33-02,964.16
151,10-33-04,964.15
152,10-33-05,964.15
153,10-33-07,964.15
154,10-33-08,964.17
155,10-33-09,964.17
156,10-33-11,964.17
