GOOG,Time,Price
0,11-30-01,955.66
1,11-30-02,955.66
2,11-30-04,955.66
3,11-30-05,955.43
4,11-30-06,955.43
5,11-30-07,955.43
6,11-30-08,955.43
7,11-30-09,955.43
8,11-30-10,955.43
9,11-30-11,955.43
10,11-30-12,955.22
11,11-30-13,955.22
12,11-30-14,955.22
13,11-30-15,955.55
14,11-30-16,955.71
15,11-30-17,955.71
16,11-30-18,955.71
17,11-30-19,955.71
18,11-30-20,955.71
19,11-30-21,955.71
20,11-30-22,955.71
21,11-30-23,955.71
22,11-30-24,955.71
23,11-30-26,955.71
24,11-30-27,955.71
25,11-30-28,955.71
26,11-30-29,955.71
27,11-30-30,955.71
28,11-30-31,955.71
29,11-30-33,955.71
30,11-30-34,955.34
31,11-30-35,955.34
32,11-30-36,955.34
33,11-30-37,955.34
34,11-30-38,955.34
35,11-30-39,955.34
36,11-30-40,955.34
37,11-30-41,955.34
38,11-30-43,955.34
39,11-30-44,955.34
40,11-30-45,955.34
41,11-30-47,955.34
42,11-30-48,955.34
43,11-30-49,955.34
44,11-30-50,955.34
45,11-30-50,955.50
46,11-30-52,955.50
47,11-30-52,955.28
48,11-30-54,955.28
49,11-30-55,955.28
50,11-30-56,955.28
51,11-30-57,955.30
52,11-30-58,955.30
53,11-30-59,955.300
54,11-31-01,955.612
55,11-31-02,955.61
56,11-31-03,955.61
57,11-31-04,955.25
58,11-31-05,955.12
59,11-31-06,955.12
60,11-31-07,955.12
61,11-31-08,955.12
62,11-31-09,955.12
63,11-31-11,955.03
64,11-31-12,955.03
65,11-31-13,955.03
66,11-31-14,955.00
67,11-31-15,954.750
68,11-31-16,955.28
69,11-31-17,955.28
70,11-31-18,955.28
71,11-31-19,955.28
72,11-31-20,955.28
73,11-31-21,955.23
74,11-31-23,955.23
75,11-31-24,955.23
76,11-31-25,955.23
77,11-31-26,955.23
78,11-31-27,954.76
79,11-31-29,954.76
80,11-31-29,954.76
81,11-31-30,954.76
82,11-31-32,954.76
83,11-31-33,954.76
84,11-31-34,954.76
85,11-31-35,954.76
86,11-31-36,954.76
87,11-31-36,955.34
88,11-31-38,955.34
89,11-31-39,955.34
90,11-31-40,955.34
91,11-31-40,955.365
92,11-31-42,955.365
93,11-31-43,955.37
94,11-31-44,955.37
95,11-31-45,955.37
96,11-31-46,955.37
97,11-31-47,955.66
98,11-31-48,955.66
99,11-31-49,955.67
100,11-31-50,955.67
101,11-31-52,955.6700
102,11-31-53,955.67
103,11-31-54,955.67
104,11-31-56,955.67
105,11-31-57,955.67
106,11-31-58,955.43
107,11-31-59,955.43
108,11-32-00,955.43
109,11-32-01,955.43
110,11-32-03,955.43
111,11-32-03,955.43
112,11-32-04,955.43
113,11-32-05,955.43
114,11-32-06,955.43
115,11-32-07,955.43
116,11-32-08,955.43
117,11-32-09,955.43
118,11-32-10,955.43
119,11-32-11,955.43
120,11-32-13,955.43
